City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Thompson,CA,2022-04-02 20:04:46,55.7435,-97.8558,26.56,76,100,5.41
244,Sokoni,TZ,2022-04-02 20:04:46,-6.4333,39.55,82.72,76,9,12.75
245,Markova,UA,2022-04-02 20:04:46,48.6758,24.4138,31.89,90,100,6.29
246,Kyabe,TD,2022-04-02 20:04:47,9.4515,18.9449,92.43,16,74,2.21
247,Palasbari,IN,2022-04-02 20:04:47,26.1361,91.5486,73.44,80,7,4.83
248,Sarangani,PH,2022-04-02 20:04:47,5.4033,125.4636,80.08,81,100,11.97
249,Egvekinot,RU,2022-04-02 20:04:48,66.3167,-179.1667,-8.12,87,21,14.56
250,Omsukchan,RU,2022-04-02 20:04:48,62.5333,155.8,-0.98,98,100,2.71
251,Kaduqli,SD,2022-04-02 20:04:48,11.0167,29.7167,88.18,12,79,3.11
252,Vardo,NO,2022-04-02 20:04:49,70.3705,31.1107,26.91,69,100,5.26
253,Lasa,IT,2022-04-02 20:04:49,46.6166,10.7002,32.36,94,99,7.11
254,Tiksi,RU,2022-04-02 20:04:50,71.6872,128.8694,-6.88,100,100,4.23
255,Tasiilaq,GL,2022-04-02 20:04:50,65.6145,-37.6368,30.36,94,100,24.34
256,Waipawa,NZ,2022-04-02 20:04:50,-41.4122,175.5153,55.4,91,35,2.51
257,Pataskala,US,2022-04-02 20:04:51,39.9956,-82.6743,51.3,48,0,3.44
258,Bathsheba,BB,2022-04-02 20:02:00,13.2167,-59.5167,80.19,69,67,19.15
259,Nanortalik,GL,2022-04-02 20:04:51,60.1432,-45.2371,36.79,95,100,9.84
260,Padang,ID,2022-04-02 20:04:51,-0.9492,100.3543,76.19,83,21,4.29
261,Port Macquarie,AU,2022-04-02 20:04:52,-31.4333,152.9167,57.88,71,100,5.77
262,Ratangarh,IN,2022-04-02 20:04:52,28.0833,74.6,81.32,5,0,8.43
263,Port Hedland,AU,2022-04-02 20:04:52,-20.3167,118.5667,82.45,74,52,8.05
264,Rockhampton,AU,2022-04-02 20:04:53,-23.3833,150.5,69.69,88,40,6.91
265,High Level,CA,2022-04-02 20:04:53,58.5169,-117.136,19.47,79,100,2.59
266,Kaitangata,NZ,2022-04-02 20:04:53,-46.2817,169.8464,50.52,89,31,7.14
